Year_Before,Year_After,Medals_Before,Medals_After,Delta_Medals,Repeat_Rate,Coaching_Effect_%,File
1932,1936,3,14,11,0.096,35.34,Germany_ART_mens.csv
1896,1900,1,1,0,0.0,0.0,Germany_CTR_mens.csv
1900,1906,1,4,3,0.0,0.0,Germany_CTR_mens.csv
1906,1908,4,5,1,0.222,5.56,Germany_CTR_mens.csv
1908,1912,5,0,-5,0.0,-0.0,Germany_CTR_mens.csv
1912,1928,0,2,2,0.0,0.0,Germany_CTR_mens.csv
1928,1932,2,0,-2,0.0,-0.0,Germany_CTR_mens.csv
1932,1936,0,4,4,0.0,0.0,Germany_CTR_mens.csv
1936,1952,4,2,-2,0.0,-0.0,Germany_CTR_mens.csv
1952,1956,2,4,2,0.0,0.0,Germany_CTR_mens.csv
1956,1960,4,11,7,0.214,37.5,Germany_CTR_mens.csv
1960,1964,11,6,-5,0.0,-0.0,Germany_CTR_mens.csv
1964,1992,6,11,5,0.0,0.0,Germany_CTR_mens.csv
1992,1996,11,1,-10,0.357,-32.47,Germany_CTR_mens.csv
1996,2000,1,13,12,0.353,423.53,Germany_CTR_mens.csv
2000,2004,13,6,-7,0.625,-33.65,Germany_CTR_mens.csv
2004,2008,6,4,-2,0.286,-9.52,Germany_CTR_mens.csv
2008,2012,4,5,1,0.462,11.54,Germany_CTR_mens.csv
2012,2016,5,0,-5,0.467,-46.67,Germany_CTR_mens.csv
2016,2020,0,0,0,0.4,0.0,Germany_CTR_mens.csv
2020,2024,0,0,0,0.556,0.0,Germany_CTR_mens.csv
1896,1920,2,0,-2,0.0,-0.0,United_Kingdom_WLF_mens.csv
1920,1924,0,0,0,0.0,0.0,United_Kingdom_WLF_mens.csv
1924,1928,0,0,0,0.8,0.0,United_Kingdom_WLF_mens.csv
1928,1936,0,0,0,0.0,0.0,United_Kingdom_WLF_mens.csv
1936,1948,0,2,2,0.0,0.0,United_Kingdom_WLF_mens.csv
1948,1952,2,0,-2,0.4,-40.0,United_Kingdom_WLF_mens.csv
1952,1956,0,0,0,0.4,0.0,United_Kingdom_WLF_mens.csv
1956,1960,0,1,1,0.286,28.57,United_Kingdom_WLF_mens.csv
1960,1964,1,1,0,0.4,0.0,United_Kingdom_WLF_mens.csv
1964,1968,1,0,-1,0.429,-42.86,United_Kingdom_WLF_mens.csv
1968,1972,0,0,0,0.444,0.0,United_Kingdom_WLF_mens.csv
1972,1976,0,0,0,0.25,0.0,United_Kingdom_WLF_mens.csv
1976,1980,0,0,0,0.4,0.0,United_Kingdom_WLF_mens.csv
1980,1984,0,1,1,0.3,30.0,United_Kingdom_WLF_mens.csv
1984,1988,1,0,-1,0.4,-40.0,United_Kingdom_WLF_mens.csv
1988,1992,0,0,0,0.5,0.0,United_Kingdom_WLF_mens.csv
1992,1996,0,0,0,0.0,0.0,United_Kingdom_WLF_mens.csv
1996,2000,0,0,0,0.0,0.0,United_Kingdom_WLF_mens.csv
2000,2004,0,0,0,0.0,0.0,United_Kingdom_WLF_mens.csv
2004,2012,0,0,0,0.0,0.0,United_Kingdom_WLF_mens.csv
2012,2016,0,0,0,0.0,0.0,United_Kingdom_WLF_mens.csv
1906,1908,0,0,0,0.062,0.0,United_Kingdom_DIV_mens.csv
1908,1912,0,0,0,0.5,0.0,United_Kingdom_DIV_mens.csv
1912,1920,0,0,0,0.0,0.0,United_Kingdom_DIV_mens.csv
1920,1924,0,1,1,0.4,40.0,United_Kingdom_DIV_mens.csv
1924,1928,1,0,-1,0.25,-25.0,United_Kingdom_DIV_mens.csv
1928,1936,0,0,0,0.0,0.0,United_Kingdom_DIV_mens.csv
1936,1948,0,0,0,0.0,0.0,United_Kingdom_DIV_mens.csv
1948,1952,0,0,0,0.667,0.0,United_Kingdom_DIV_mens.csv
1952,1956,0,0,0,0.0,0.0,United_Kingdom_DIV_mens.csv
1956,1960,0,1,1,0.0,0.0,United_Kingdom_DIV_mens.csv
1960,1964,1,0,-1,0.5,-50.0,United_Kingdom_DIV_mens.csv
1964,1968,0,0,0,0.0,0.0,United_Kingdom_DIV_mens.csv
1968,1972,0,0,0,0.0,0.0,United_Kingdom_DIV_mens.csv
1972,1976,0,0,0,0.0,0.0,United_Kingdom_DIV_mens.csv
1976,1980,0,0,0,1.0,0.0,United_Kingdom_DIV_mens.csv
1980,1984,0,0,0,0.333,0.0,United_Kingdom_DIV_mens.csv
1984,1988,0,0,0,0.333,0.0,United_Kingdom_DIV_mens.csv
1988,1992,0,0,0,1.0,0.0,United_Kingdom_DIV_mens.csv
1992,1996,0,0,0,0.333,0.0,United_Kingdom_DIV_mens.csv
1996,2000,0,0,0,0.5,0.0,United_Kingdom_DIV_mens.csv
2000,2004,0,2,2,1.0,200.0,United_Kingdom_DIV_mens.csv
2004,2008,2,0,-2,0.2,-20.0,United_Kingdom_DIV_mens.csv
2008,2012,0,1,1,0.6,60.0,United_Kingdom_DIV_mens.csv
2012,2016,1,5,4,0.6,240.0,United_Kingdom_DIV_mens.csv
2016,2020,5,4,-1,0.5,-10.0,United_Kingdom_DIV_mens.csv
2020,2024,4,5,1,0.5,12.5,United_Kingdom_DIV_mens.csv
1964,1968,0,0,0,0.5,0.0,Chinese_Taipei_GAR_mens.csv
1968,1988,0,0,0,0.0,0.0,Chinese_Taipei_GAR_mens.csv
1988,2000,0,0,0,0.0,0.0,Chinese_Taipei_GAR_mens.csv
2000,2016,0,0,0,0.0,0.0,Chinese_Taipei_GAR_mens.csv
2016,2020,0,1,1,0.0,0.0,Chinese_Taipei_GAR_mens.csv
2020,2024,1,1,0,1.0,0.0,Chinese_Taipei_GAR_mens.csv
2000,2004,0,0,0,1.0,0.0,Romania_WLF_womens.csv
2004,2008,0,0,0,0.0,0.0,Romania_WLF_womens.csv
2008,2012,0,1,1,1.0,100.0,Romania_WLF_womens.csv
2012,2016,1,0,-1,0.0,-0.0,Romania_WLF_womens.csv
2016,2024,0,1,1,0.0,0.0,Romania_WLF_womens.csv
2020,2024,1,1,0,1.0,0.0,Austria_CLB_mens.csv
1896,1920,0,0,0,0.0,0.0,Australia_TEN_mens.csv
1920,1924,0,0,0,0.0,0.0,Australia_TEN_mens.csv
1924,1988,0,0,0,0.0,0.0,Australia_TEN_mens.csv
1988,1992,0,0,0,0.5,0.0,Australia_TEN_mens.csv
1992,1996,0,2,2,0.25,50.0,Australia_TEN_mens.csv
1996,2000,2,2,0,0.5,0.0,Australia_TEN_mens.csv
2000,2004,2,0,-2,0.667,-66.67,Australia_TEN_mens.csv
2004,2008,0,0,0,0.0,0.0,Australia_TEN_mens.csv
2008,2012,0,0,0,0.5,0.0,Australia_TEN_mens.csv
2012,2016,0,0,0,0.0,0.0,Australia_TEN_mens.csv
2016,2020,0,1,1,0.4,40.0,Australia_TEN_mens.csv
2020,2024,1,2,1,0.2,20.0,Australia_TEN_mens.csv
1984,1988,0,0,0,0.0,0.0,Spain_SWA_womens.csv
1988,1992,0,0,0,1.0,0.0,Spain_SWA_womens.csv
1992,2000,0,0,0,0.0,0.0,Spain_SWA_womens.csv
2000,2004,0,0,0,0.25,0.0,Spain_SWA_womens.csv
2004,2008,0,10,10,0.625,625.0,Spain_SWA_womens.csv
2008,2012,10,10,0,0.375,0.0,Spain_SWA_womens.csv
2012,2016,10,0,-10,0.5,-50.0,Spain_SWA_womens.csv
2016,2020,0,0,0,0.0,0.0,Spain_SWA_womens.csv
2020,2024,0,9,9,0.667,600.0,Spain_SWA_womens.csv
2016,2020,0,0,0,0.0,0.0,France_GTR_womens.csv
2020,2024,0,0,0,1.0,0.0,France_GTR_womens.csv
1992,1996,0,0,0,0.0,0.0,Netherlands_TTE_mens.csv
1996,2000,0,0,0,1.0,0.0,Netherlands_TTE_mens.csv
2000,2004,0,0,0,1.0,0.0,Netherlands_TTE_mens.csv
2020,2024,2,0,-2,0.5,-50.0,Japan_CLB_womens.csv
1972,1976,0,0,0,0.0,0.0,Australia_ARC_womens.csv
1976,1980,0,0,0,0.5,0.0,Australia_ARC_womens.csv
1980,1984,0,0,0,1.0,0.0,Australia_ARC_womens.csv
1984,1996,0,0,0,0.0,0.0,Australia_ARC_womens.csv
1996,2000,0,0,0,0.0,0.0,Australia_ARC_womens.csv
2000,2004,0,0,0,0.333,0.0,Australia_ARC_womens.csv
2004,2008,0,0,0,0.0,0.0,Australia_ARC_womens.csv
2008,2012,0,0,0,0.0,0.0,Australia_ARC_womens.csv
2012,2016,0,0,0,0.0,0.0,Australia_ARC_womens.csv
2016,2020,0,0,0,1.0,0.0,Australia_ARC_womens.csv
2020,2024,0,0,0,0.0,0.0,Australia_ARC_womens.csv
2008,2012,1,0,-1,0.5,-50.0,Poland_WRF_womens.csv
2012,2016,0,1,1,0.5,50.0,Poland_WRF_womens.csv
2016,2020,1,0,-1,0.0,-0.0,Poland_WRF_womens.csv
2020,2024,0,0,0,0.0,0.0,Poland_WRF_womens.csv
1996,2004,0,0,0,0.0,0.0,Belarus_ROW_mens.csv
2004,2008,0,0,0,0.3,0.0,Belarus_ROW_mens.csv
2008,2012,0,0,0,1.0,0.0,Belarus_ROW_mens.csv
2012,2016,0,0,0,0.6,0.0,Belarus_ROW_mens.csv
2016,2020,0,0,0,0.0,0.0,Belarus_ROW_mens.csv
1972,1976,1,0,-1,0.0,-0.0,North_Korea_WRF_mens.csv
1976,1980,0,2,2,0.333,66.67,North_Korea_WRF_mens.csv
1980,1992,2,3,1,0.0,0.0,North_Korea_WRF_mens.csv
1992,1996,3,2,-1,0.333,-11.11,North_Korea_WRF_mens.csv
1996,2000,2,1,-1,0.5,-25.0,North_Korea_WRF_mens.csv
2000,2004,1,0,-1,0.0,-0.0,North_Korea_WRF_mens.csv
2004,2008,0,0,0,0.0,0.0,North_Korea_WRF_mens.csv
2008,2012,0,1,1,0.333,33.33,North_Korea_WRF_mens.csv
2012,2016,1,0,-1,1.0,-100.0,North_Korea_WRF_mens.csv
1996,2000,0,0,0,1.0,0.0,Belarus_CSL_mens.csv
2000,2004,0,2,2,0.0,0.0,Belarus_CSL_mens.csv
2004,2008,2,8,6,0.714,214.29,Belarus_CSL_mens.csv
2008,2012,8,4,-4,0.714,-35.71,Belarus_CSL_mens.csv
1920,1924,0,0,0,0.429,0.0,Switzerland_WPO_mens.csv
1924,1928,0,0,0,0.286,0.0,Switzerland_WPO_mens.csv
1928,1936,0,0,0,0.25,0.0,Switzerland_WPO_mens.csv
1936,1948,0,0,0,0.0,0.0,Switzerland_WPO_mens.csv
1952,1960,0,0,0,0.25,0.0,Venezuela_FEN_mens.csv
1960,1968,0,0,0,0.25,0.0,Venezuela_FEN_mens.csv
1968,1984,0,0,0,0.0,0.0,Venezuela_FEN_mens.csv
1984,1996,0,0,0,0.0,0.0,Venezuela_FEN_mens.csv
1996,2000,0,0,0,1.0,0.0,Venezuela_FEN_mens.csv
2000,2004,0,0,0,0.5,0.0,Venezuela_FEN_mens.csv
2004,2008,0,0,0,0.2,0.0,Venezuela_FEN_mens.csv
2008,2012,0,1,1,0.667,66.67,Venezuela_FEN_mens.csv
2012,2016,1,0,-1,0.4,-40.0,Venezuela_FEN_mens.csv
2016,2020,0,0,0,0.0,0.0,Venezuela_FEN_mens.csv
2020,2024,0,0,0,0.25,0.0,Venezuela_FEN_mens.csv
1984,1988,16,16,0,0.562,0.0,Netherlands_HOC_womens.csv
1988,1992,16,0,-16,0.375,-37.5,Netherlands_HOC_womens.csv
1992,1996,0,16,16,0.375,600.0,Netherlands_HOC_womens.csv
1996,2000,16,16,0,0.375,0.0,Netherlands_HOC_womens.csv
2000,2004,16,16,0,0.438,0.0,Netherlands_HOC_womens.csv
2004,2008,16,16,0,0.438,0.0,Netherlands_HOC_womens.csv
2008,2012,16,16,0,0.5,0.0,Netherlands_HOC_womens.csv
2012,2016,16,16,0,0.688,0.0,Netherlands_HOC_womens.csv
2016,2020,16,18,2,0.111,1.39,Netherlands_HOC_womens.csv
2020,2024,18,17,-1,0.294,-1.63,Netherlands_HOC_womens.csv
1900,1906,0,6,6,0.0,0.0,Netherlands_FEN_mens.csv
1906,1908,6,0,-6,0.462,-46.15,Netherlands_FEN_mens.csv
1908,1912,0,11,11,0.417,458.33,Netherlands_FEN_mens.csv
1912,1920,11,8,-3,0.4,-10.91,Netherlands_FEN_mens.csv
1920,1924,8,6,-2,0.5,-12.5,Netherlands_FEN_mens.csv
1924,1928,6,0,-6,0.471,-47.06,Netherlands_FEN_mens.csv
1928,1932,0,0,0,1.0,0.0,Netherlands_FEN_mens.csv
1932,1936,0,0,0,0.0,0.0,Netherlands_FEN_mens.csv
1936,1948,0,0,0,0.143,0.0,Netherlands_FEN_mens.csv
1948,1960,0,0,0,0.0,0.0,Netherlands_FEN_mens.csv
1960,1972,0,0,0,0.0,0.0,Netherlands_FEN_mens.csv
1972,1988,0,0,0,0.0,0.0,Netherlands_FEN_mens.csv
1988,2008,0,0,0,0.0,0.0,Netherlands_FEN_mens.csv
2008,2012,0,0,0,1.0,0.0,Netherlands_FEN_mens.csv
2012,2016,0,0,0,1.0,0.0,Netherlands_FEN_mens.csv
2016,2020,0,0,0,1.0,0.0,Netherlands_FEN_mens.csv
2020,2024,0,0,0,0.0,0.0,Netherlands_FEN_mens.csv
1900,1924,0,0,0,0.0,0.0,Spain_FEN_mens.csv
1924,1928,0,0,0,0.444,0.0,Spain_FEN_mens.csv
1928,1960,0,0,0,0.0,0.0,Spain_FEN_mens.csv
1960,1980,0,0,0,0.0,0.0,Spain_FEN_mens.csv
1980,1984,0,0,0,0.0,0.0,Spain_FEN_mens.csv
1984,1988,0,0,0,0.25,0.0,Spain_FEN_mens.csv
1988,1992,0,0,0,0.467,0.0,Spain_FEN_mens.csv
1992,1996,0,0,0,0.667,0.0,Spain_FEN_mens.csv
1996,2000,0,0,0,0.5,0.0,Spain_FEN_mens.csv
2000,2004,0,0,0,1.0,0.0,Spain_FEN_mens.csv
2004,2008,0,1,1,0.0,0.0,Spain_FEN_mens.csv
2008,2020,1,0,-1,0.0,-0.0,Spain_FEN_mens.csv
2020,2024,0,0,0,1.0,0.0,Spain_FEN_mens.csv
1996,2004,0,0,0,0.0,0.0,Bangladesh_SHO_mens.csv
2004,2008,0,0,0,0.0,0.0,Bangladesh_SHO_mens.csv
2008,2016,0,0,0,0.0,0.0,Bangladesh_SHO_mens.csv
2016,2020,0,0,0,0.0,0.0,Bangladesh_SHO_mens.csv
2020,2024,0,0,0,0.0,0.0,Bangladesh_SHO_mens.csv
1996,2000,12,11,-1,0.636,-5.3,Serbia_And_Montenegro_VVO_mens.csv
2000,2004,11,0,-11,0.583,-58.33,Serbia_And_Montenegro_VVO_mens.csv
1988,1992,0,0,0,0.333,0.0,China_SWA_womens.csv
1992,1996,0,0,0,0.0,0.0,China_SWA_womens.csv
1996,2000,0,0,0,0.222,0.0,China_SWA_womens.csv
2000,2004,0,0,0,0.375,0.0,China_SWA_womens.csv
2004,2008,0,9,9,0.333,300.0,China_SWA_womens.csv
2008,2012,9,11,2,0.556,12.35,China_SWA_womens.csv
2012,2016,11,11,0,0.222,0.0,China_SWA_womens.csv
2016,2020,11,10,-1,0.0,-0.0,China_SWA_womens.csv
2020,2024,10,11,1,0.333,3.33,China_SWA_womens.csv
1992,2000,0,0,0,0.0,0.0,New_Zealand_SHO_womens.csv
2000,2004,0,0,0,0.0,0.0,New_Zealand_SHO_womens.csv
2004,2008,0,0,0,1.0,0.0,New_Zealand_SHO_womens.csv
2008,2016,0,1,1,0.0,0.0,New_Zealand_SHO_womens.csv
2016,2020,1,0,-1,1.0,-100.0,New_Zealand_SHO_womens.csv
2020,2024,0,0,0,1.0,0.0,New_Zealand_SHO_womens.csv
1932,1936,14,0,-14,0.643,-64.29,United_States_HOC_mens.csv
1936,1948,0,0,0,0.0,0.0,United_States_HOC_mens.csv
1948,1956,0,0,0,0.308,0.0,United_States_HOC_mens.csv
1956,1984,0,0,0,0.0,0.0,United_States_HOC_mens.csv
1984,1996,0,0,0,0.0,0.0,United_States_HOC_mens.csv
2000,2020,0,0,0,0.0,0.0,Morocco_CSL_mens.csv
2020,2024,0,0,0,1.0,0.0,Morocco_CSL_mens.csv
2012,2016,0,0,0,0.5,0.0,Morocco_JUD_womens.csv
2016,2020,0,0,0,0.5,0.0,Morocco_JUD_womens.csv
2020,2024,0,0,0,1.0,0.0,Morocco_JUD_womens.csv
1992,2004,0,0,0,0.0,0.0,Spain_TTE_mens.csv
2004,2008,0,0,0,0.5,0.0,Spain_TTE_mens.csv
2008,2012,0,0,0,0.5,0.0,Spain_TTE_mens.csv
2012,2016,0,0,0,1.0,0.0,Spain_TTE_mens.csv
2016,2020,0,0,0,0.0,0.0,Spain_TTE_mens.csv
2020,2024,0,0,0,1.0,0.0,Spain_TTE_mens.csv
1968,1972,0,3,3,0.0,0.0,East_Germany_CSL_womens.csv
1972,1976,3,3,0,0.0,0.0,East_Germany_CSL_womens.csv
1976,1980,3,3,0,0.0,0.0,East_Germany_CSL_womens.csv
1980,1988,3,7,4,0.25,33.33,East_Germany_CSL_womens.csv
2000,2012,0,0,0,0.0,0.0,Slovenia_TKW_mens.csv
2012,2020,0,0,0,0.0,0.0,Slovenia_TKW_mens.csv
2020,2024,0,0,0,0.0,0.0,Slovenia_TKW_mens.csv
1968,2008,0,0,0,0.0,0.0,El_Salvador_CTR_mens.csv
1928,1948,0,0,0,0.083,0.0,Austria_HOC_mens.csv
1948,1952,0,0,0,0.385,0.0,Austria_HOC_mens.csv
2020,2024,0,0,0,1.0,0.0,Belgium_CSP_mens.csv
2016,2020,0,0,0,0.0,0.0,Pakistan_JUD_mens.csv
1972,1980,0,0,0,0.0,0.0,Kuwait_SWM_mens.csv
1980,1984,0,0,0,0.0,0.0,Kuwait_SWM_mens.csv
1984,1988,0,0,0,0.0,0.0,Kuwait_SWM_mens.csv
1988,1992,0,0,0,0.333,0.0,Kuwait_SWM_mens.csv
1992,1996,0,0,0,0.333,0.0,Kuwait_SWM_mens.csv
1996,2000,0,0,0,0.5,0.0,Kuwait_SWM_mens.csv
2000,2008,0,0,0,0.0,0.0,Kuwait_SWM_mens.csv
2008,2012,0,0,0,0.0,0.0,Kuwait_SWM_mens.csv
2012,2020,0,0,0,0.0,0.0,Kuwait_SWM_mens.csv
2020,2024,0,0,0,0.0,0.0,Kuwait_SWM_mens.csv
1912,1920,5,4,-1,0.0,-0.0,United_Kingdom_SWM_womens.csv
1920,1924,4,7,3,0.182,13.64,United_Kingdom_SWM_womens.csv
1924,1928,7,7,0,0.3,0.0,United_Kingdom_SWM_womens.csv
1928,1932,7,5,-2,0.429,-12.24,United_Kingdom_SWM_womens.csv
1932,1936,5,0,-5,0.25,-25.0,United_Kingdom_SWM_womens.csv
1936,1948,0,1,1,0.0,0.0,United_Kingdom_SWM_womens.csv
1948,1952,1,1,0,0.182,0.0,United_Kingdom_SWM_womens.csv
1952,1956,1,2,1,0.111,11.11,United_Kingdom_SWM_womens.csv
1956,1960,2,3,1,0.091,4.55,United_Kingdom_SWM_womens.csv
1960,1964,3,0,-3,0.188,-18.75,United_Kingdom_SWM_womens.csv
1964,1968,0,0,0,0.077,0.0,United_Kingdom_SWM_womens.csv
1968,1972,0,0,0,0.2,0.0,United_Kingdom_SWM_womens.csv
1972,1976,0,0,0,0.167,0.0,United_Kingdom_SWM_womens.csv
1976,1980,0,5,5,0.286,142.86,United_Kingdom_SWM_womens.csv
1980,1984,5,3,-2,0.2,-8.0,United_Kingdom_SWM_womens.csv
1984,1988,3,0,-3,0.316,-31.58,United_Kingdom_SWM_womens.csv
1988,1992,0,0,0,0.333,0.0,United_Kingdom_SWM_womens.csv
1992,1996,0,0,0,0.385,0.0,United_Kingdom_SWM_womens.csv
1996,2000,0,0,0,0.333,0.0,United_Kingdom_SWM_womens.csv
2000,2004,0,0,0,0.538,0.0,United_Kingdom_SWM_womens.csv
2004,2008,0,5,5,0.25,125.0,United_Kingdom_SWM_womens.csv
2008,2012,5,2,-3,0.524,-31.43,United_Kingdom_SWM_womens.csv
2012,2016,2,3,1,0.583,29.17,United_Kingdom_SWM_womens.csv
2016,2020,3,3,0,0.154,0.0,United_Kingdom_SWM_womens.csv
2020,2024,3,0,-3,0.462,-46.15,United_Kingdom_SWM_womens.csv
1996,2000,0,1,1,0.75,75.0,Saudi_Arabia_EVE_mens.csv
2000,2004,1,0,-1,1.0,-100.0,Saudi_Arabia_EVE_mens.csv
2004,2008,0,0,0,0.5,0.0,Saudi_Arabia_EVE_mens.csv
2008,2012,0,4,4,0.75,300.0,Saudi_Arabia_EVE_mens.csv
2020,2024,0,0,0,1.0,0.0,Hungary_MTB_womens.csv
1988,1992,0,0,0,0.333,0.0,Indonesia_TEN_mens.csv
2008,2012,0,0,0,1.0,0.0,British_Virgin_Islands_ATH_womens.csv
2012,2016,0,0,0,0.5,0.0,British_Virgin_Islands_ATH_womens.csv
2016,2020,0,0,0,0.0,0.0,British_Virgin_Islands_ATH_womens.csv
2020,2024,0,0,0,0.0,0.0,Mexico_MTB_womens.csv
2004,2008,0,0,0,1.0,0.0,Costa_Rica_TKW_mens.csv
2008,2012,0,0,0,0.0,0.0,Costa_Rica_TKW_mens.csv
2000,2016,0,0,0,0.0,0.0,Panama_SHO_mens.csv
1956,1960,4,6,2,0.188,9.38,Bulgaria_WRF_mens.csv
1960,1964,6,8,2,0.5,16.67,Bulgaria_WRF_mens.csv
1964,1968,8,6,-2,0.25,-6.25,Bulgaria_WRF_mens.csv
1968,1972,6,8,2,0.3,10.0,Bulgaria_WRF_mens.csv
1972,1976,8,7,-1,0.3,-3.75,Bulgaria_WRF_mens.csv
1976,1980,7,10,3,0.35,15.0,Bulgaria_WRF_mens.csv
1980,1988,10,8,-2,0.0,-0.0,Bulgaria_WRF_mens.csv
1988,1992,8,2,-6,0.25,-18.75,Bulgaria_WRF_mens.csv
1992,1996,2,1,-1,0.333,-16.67,Bulgaria_WRF_mens.csv
1996,2000,1,2,1,0.25,25.0,Bulgaria_WRF_mens.csv
2000,2004,2,1,-1,0.333,-16.67,Bulgaria_WRF_mens.csv
2004,2008,1,3,2,0.6,120.0,Bulgaria_WRF_mens.csv
2008,2012,3,0,-3,0.25,-25.0,Bulgaria_WRF_mens.csv
2012,2016,0,0,0,0.125,0.0,Bulgaria_WRF_mens.csv
2016,2020,0,0,0,0.0,0.0,Bulgaria_WRF_mens.csv
2020,2024,0,2,2,0.5,100.0,Bulgaria_WRF_mens.csv
1936,1948,0,0,0,0.0,0.0,Chile_ATH_womens.csv
1948,1952,0,0,0,0.5,0.0,Chile_ATH_womens.csv
1952,1956,0,1,1,0.0,0.0,Chile_ATH_womens.csv
1956,1960,1,0,-1,1.0,-100.0,Chile_ATH_womens.csv
1960,1968,0,0,0,0.0,0.0,Chile_ATH_womens.csv
1968,1972,0,0,0,1.0,0.0,Chile_ATH_womens.csv
1972,1984,0,0,0,0.0,0.0,Chile_ATH_womens.csv
1984,1996,0,0,0,0.0,0.0,Chile_ATH_womens.csv
1996,2000,0,0,0,1.0,0.0,Chile_ATH_womens.csv
2000,2004,0,0,0,0.5,0.0,Chile_ATH_womens.csv
2004,2008,0,0,0,0.0,0.0,Chile_ATH_womens.csv
2008,2012,0,0,0,0.25,0.0,Chile_ATH_womens.csv
2012,2016,0,0,0,0.8,0.0,Chile_ATH_womens.csv
2016,2020,0,0,0,0.0,0.0,Chile_ATH_womens.csv
2020,2024,0,0,0,0.0,0.0,Chile_ATH_womens.csv
1984,1988,0,0,0,0.0,0.0,Honduras_SWM_womens.csv
1988,1992,0,0,0,0.5,0.0,Honduras_SWM_womens.csv
1992,2000,0,0,0,0.0,0.0,Honduras_SWM_womens.csv
2000,2004,0,0,0,0.0,0.0,Honduras_SWM_womens.csv
2004,2008,0,0,0,0.0,0.0,Honduras_SWM_womens.csv
2008,2012,0,0,0,0.0,0.0,Honduras_SWM_womens.csv
2012,2016,0,0,0,0.0,0.0,Honduras_SWM_womens.csv
2016,2020,0,0,0,0.0,0.0,Honduras_SWM_womens.csv
2020,2024,0,0,0,1.0,0.0,Honduras_SWM_womens.csv
1988,1992,0,0,0,1.0,0.0,Senegal_SWM_mens.csv
1992,2000,0,0,0,0.0,0.0,Senegal_SWM_mens.csv
2000,2004,0,0,0,1.0,0.0,Senegal_SWM_mens.csv
2004,2008,0,0,0,1.0,0.0,Senegal_SWM_mens.csv
2008,2012,0,0,0,1.0,0.0,Senegal_SWM_mens.csv
2012,2016,0,0,0,0.0,0.0,Senegal_SWM_mens.csv
2016,2020,0,0,0,0.0,0.0,Senegal_SWM_mens.csv
2020,2024,0,0,0,0.0,0.0,Senegal_SWM_mens.csv
1996,2004,0,0,0,0.0,0.0,Czech_Republic_ROW_womens.csv
2004,2008,0,0,0,0.333,0.0,Czech_Republic_ROW_womens.csv
2008,2012,0,1,1,0.667,66.67,Czech_Republic_ROW_womens.csv
2012,2016,1,0,-1,0.667,-66.67,Czech_Republic_ROW_womens.csv
2016,2020,0,0,0,0.0,0.0,Czech_Republic_ROW_womens.csv
1988,1992,0,0,0,1.0,0.0,Israel_TEN_mens.csv
1992,2004,0,0,0,0.0,0.0,Israel_TEN_mens.csv
2004,2008,0,0,0,1.0,0.0,Israel_TEN_mens.csv
2008,2012,0,0,0,1.0,0.0,Israel_TEN_mens.csv
2012,2016,0,0,0,0.0,0.0,Israel_TEN_mens.csv
1996,2008,0,0,0,0.0,0.0,Slovakia_TTE_womens.csv
2008,2016,0,0,0,0.5,0.0,Slovakia_TTE_womens.csv
2016,2020,0,0,0,0.0,0.0,Slovakia_TTE_womens.csv
1984,1988,0,0,0,0.6,0.0,China_JUD_mens.csv
1988,1992,0,0,0,0.0,0.0,China_JUD_mens.csv
1992,1996,0,0,0,0.0,0.0,China_JUD_mens.csv
1996,2000,0,0,0,0.2,0.0,China_JUD_mens.csv
2000,2004,0,0,0,0.5,0.0,China_JUD_mens.csv
2004,2008,0,0,0,0.143,0.0,China_JUD_mens.csv
2008,2012,0,0,0,0.0,0.0,China_JUD_mens.csv
2012,2016,0,1,1,0.0,0.0,China_JUD_mens.csv
1900,1904,1,8,7,0.0,0.0,Germany_SWM_mens.csv
1904,1906,8,4,-4,0.4,-20.0,Germany_SWM_mens.csv
1906,1908,4,1,-3,0.0,-0.0,Germany_SWM_mens.csv
1908,1912,1,6,5,0.077,38.46,Germany_SWM_mens.csv
1912,1928,6,1,-5,0.0,-0.0,Germany_SWM_mens.csv
1928,1932,1,0,-1,1.0,-100.0,Germany_SWM_mens.csv
1932,1936,0,1,1,0.071,7.14,Germany_SWM_mens.csv
1936,1952,1,1,0,0.0,0.0,Germany_SWM_mens.csv
1952,1956,1,0,-1,0.111,-11.11,Germany_SWM_mens.csv
1956,1960,0,0,0,0.133,0.0,Germany_SWM_mens.csv
1960,1964,0,15,15,0.381,571.43,Germany_SWM_mens.csv
1964,1992,15,7,-8,0.0,-0.0,Germany_SWM_mens.csv
1992,1996,7,12,5,0.562,40.18,Germany_SWM_mens.csv
1996,2000,12,5,-7,0.312,-18.23,Germany_SWM_mens.csv
2000,2004,5,5,0,0.562,0.0,Germany_SWM_mens.csv
2004,2008,5,1,-4,0.455,-36.36,Germany_SWM_mens.csv
2008,2012,1,1,0,0.333,0.0,Germany_SWM_mens.csv
2012,2016,1,0,-1,0.471,-47.06,Germany_SWM_mens.csv
2016,2020,0,1,1,0.412,41.18,Germany_SWM_mens.csv
2020,2024,1,1,0,0.188,0.0,Germany_SWM_mens.csv
1992,1996,0,0,0,0.75,0.0,Sweden_BDM_womens.csv
1996,2000,0,0,0,0.0,0.0,Sweden_BDM_womens.csv
2000,2004,0,0,0,0.0,0.0,Sweden_BDM_womens.csv
2004,2008,0,0,0,0.0,0.0,Sweden_BDM_womens.csv
1936,1992,0,0,0,0.0,0.0,Estonia_ROW_mens.csv
